index,Country,Subject,Gender,Year,Value
566,NOR,MATH,BOY & GIRL,2006,490.0
567,NOR,MATH,BOY & GIRL,2009,498.0
568,NOR,MATH,BOY & GIRL,2012,489.0
569,NOR,MATH,BOY & GIRL,2015,502.0
570,NOR,MATH,BOY & GIRL,2018,501.0
571,POL,MATH,BOY & GIRL,2003,490.0
572,POL,MATH,BOY & GIRL,2006,495.0
573,POL,MATH,BOY & GIRL,2009,495.0
574,POL,MATH,BOY & GIRL,2012,518.0
575,POL,MATH,BOY & GIRL,2015,504.0
576,POL,MATH,BOY & GIRL,2018,516.0
577,PRT,MATH,BOY & GIRL,2003,466.0
578,PRT,MATH,BOY & GIRL,2006,466.0
579,PRT,MATH,BOY & GIRL,2009,487.0
580,PRT,MATH,BOY & GIRL,2012,487.0
581,PRT,MATH,BOY & GIRL,2015,492.0
582,PRT,MATH,BOY & GIRL,2018,492.0
583,SVK,MATH,BOY & GIRL,2003,498.0
584,SVK,MATH,BOY & GIRL,2006,492.0
585,SVK,MATH,BOY & GIRL,2009,497.0
586,SVK,MATH,BOY & GIRL,2012,482.0
587,SVK,MATH,BOY & GIRL,2015,475.0
588,SVK,MATH,BOY & GIRL,2018,486.0
589,ESP,MATH,BOY & GIRL,2003,485.0
590,ESP,MATH,BOY & GIRL,2006,480.0
591,ESP,MATH,BOY & GIRL,2009,483.0
592,ESP,MATH,BOY & GIRL,2012,484.0
593,ESP,MATH,BOY & GIRL,2015,486.0
594,ESP,MATH,BOY & GIRL,2018,481.0
595,SWE,MATH,BOY & GIRL,2003,509.0
596,SWE,MATH,BOY & GIRL,2006,502.0
597,SWE,MATH,BOY & GIRL,2009,494.0
598,SWE,MATH,BOY & GIRL,2012,478.0
599,SWE,MATH,BOY & GIRL,2015,494.0
600,SWE,MATH,BOY & GIRL,2018,502.0
601,CHE,MATH,BOY & GIRL,2003,527.0
602,CHE,MATH,BOY & GIRL,2006,530.0
603,CHE,MATH,BOY & GIRL,2009,534.0
604,CHE,MATH,BOY & GIRL,2012,531.0
605,CHE,MATH,BOY & GIRL,2015,521.0
606,CHE,MATH,BOY & GIRL,2018,515.0
607,TUR,MATH,BOY & GIRL,2003,423.0
608,TUR,MATH,BOY & GIRL,2006,424.0
609,TUR,MATH,BOY & GIRL,2009,445.0
610,TUR,MATH,BOY & GIRL,2012,448.0
611,TUR,MATH,BOY & GIRL,2015,420.0
